Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2002-05-16,0.4475,0.454464,0.441964,0.450179,227052000,0.385477
2002-05-17,0.455179,0.460357,0.439464,0.446607,236493600,0.382418
2002-05-20,0.43875,0.445179,0.438036,0.441786,269914400,0.37829
2002-05-21,0.443393,0.446429,0.417857,0.418929,280991200,0.358718
2002-05-22,0.417321,0.435179,0.416429,0.434286,290875200,0.371868
2002-05-23,0.436607,0.450714,0.429821,0.449643,369398400,0.385018
2002-05-24,0.44625,0.44625,0.427857,0.43125,166174400,0.369268
2002-05-28,0.423036,0.432143,0.418393,0.428214,149716000,0.366669
2002-05-29,0.427143,0.436429,0.41875,0.428214,221793600,0.366669
2002-05-30,0.424464,0.435357,0.419821,0.432143,196375200,0.370033
2002-05-31,0.430179,0.433036,0.415714,0.416071,365495200,0.356271
2002-06-03,0.417679,0.41875,0.403214,0.409107,235110400,0.350308
2002-06-04,0.408571,0.411429,0.396071,0.406786,347821600,0.34832
2002-06-05,0.407679,0.407679,0.399107,0.405714,277082400,0.347402
2002-06-06,0.41,0.414821,0.393571,0.395714,259996800,0.33884
2002-06-07,0.388571,0.391786,0.37375,0.382143,612376800,0.327219
2002-06-10,0.383571,0.39,0.381071,0.383571,277575200,0.328442
2002-06-11,0.386429,0.3875,0.364464,0.365357,349496000,0.312846
2002-06-12,0.364464,0.370536,0.356071,0.35875,528718400,0.307188
2002-06-13,0.3575,0.358036,0.346071,0.348929,352083200,0.298779
2002-06-14,0.343571,0.363571,0.323393,0.358929,424900000,0.307342
2002-06-17,0.361429,0.368393,0.354464,0.366786,324609600,0.314069
2002-06-18,0.364643,0.367679,0.356786,0.359821,353360000,0.308105
2002-06-19,0.310179,0.314286,0.301429,0.305714,1709467200,0.261775
2002-06-20,0.306607,0.314286,0.300893,0.305536,396636800,0.261623
2002-06-21,0.303036,0.312321,0.299821,0.300893,445177600,0.257647
2002-06-24,0.299464,0.316607,0.298214,0.308393,431933600,0.264069
2002-06-25,0.310714,0.315714,0.301071,0.306071,301201600,0.262081
2002-06-26,0.3,0.30875,0.285357,0.295536,558952800,0.25306
2002-06-27,0.299821,0.308393,0.293214,0.304643,251658400,0.260858
2002-06-28,0.305357,0.318214,0.303571,0.316429,269858400,0.27095
2002-07-01,0.31625,0.319286,0.304464,0.304643,222689600,0.260858
2002-07-02,0.304107,0.306429,0.300536,0.3025,305188800,0.259023
2002-07-03,0.300179,0.315714,0.299107,0.313393,199029600,0.26835
2002-07-05,0.31625,0.334821,0.31625,0.334643,161649600,0.286546
2002-07-08,0.330714,0.332321,0.315714,0.321607,211204000,0.275384
2002-07-09,0.323036,0.326607,0.311786,0.313036,226749600,0.268045
2002-07-10,0.31625,0.324464,0.308036,0.309286,206880800,0.264834
2002-07-11,0.308214,0.327679,0.303036,0.326786,373676800,0.279818
2002-07-12,0.33125,0.335536,0.308214,0.312679,443492000,0.267739
2002-07-15,0.31125,0.332143,0.300179,0.325536,295993600,0.278748
2002-07-16,0.324107,0.331607,0.314464,0.318929,446768000,0.273091
2002-07-17,0.288036,0.289286,0.27125,0.279107,1215485600,0.238992
2002-07-18,0.276786,0.277857,0.263393,0.267679,559462400,0.229207
2002-07-19,0.2625,0.270893,0.259464,0.267143,385207200,0.228748
2002-07-22,0.263393,0.27125,0.260893,0.266429,430897600,0.228136
2002-07-23,0.266071,0.270179,0.257857,0.258393,399890400,0.221255
2002-07-24,0.255893,0.271786,0.254464,0.271429,406593600,0.232418
2002-07-25,0.266607,0.266964,0.250179,0.256429,479354400,0.219573
2002-07-26,0.258214,0.259464,0.246429,0.256071,207704000,0.219267
2002-07-29,0.258571,0.269643,0.256607,0.268214,274960000,0.229665
2002-07-30,0.265179,0.276964,0.26,0.275536,354838400,0.235934
2002-07-31,0.275,0.275357,0.266071,0.2725,310699200,0.233335
2002-08-01,0.269821,0.275357,0.263036,0.264286,228956000,0.226301
2002-08-02,0.263214,0.267857,0.254464,0.258036,179060000,0.22095
2002-08-05,0.259107,0.2625,0.249464,0.249821,204024800,0.213915
